N1,극성,내용
0,2,백신을 맞고 안맞고는 개인의 선택이다 국가가 차별을 조장하고 백신 강제 접종을 종용하는것은 명백히 자유를 침해하는것이다 백신접종후 사망자가 코로나에의한 사망자보다 더 높다는걸 아는국민들이 얼마나 되는가 백신후유증에 대해 얼마나 공개하고 알리고 있는지 투명한 공개가 필요하고 선택할 자유를 빼앗지말아라
2,2,백신맞았다고 안걸리는거 아니라는데도 뭐라하는 비정상인들이 있네 저런 무식한 사람들이 나는 백신맞았다고 마스크 벗고다닐 사람들임 백신이 코로나 안걸리게 해주는거 아니다 중증으로 가는걸 막아주는거라고 이미 질본에서도 얘기했었고 해외사례만봐도 접종 한 사람들도 수두룩하게 걸린다 자기를 위해 맞는 백신인데 자기가 알아서 판단해야지 백신맞고 잘못되면 책임져줄것도 아니면서 강요하지마라
3,0,반대로 애가 다섯이나 있는 임창정이 백신 맞고 죽기라도 했으면 난리 났겄지? 목숨을 걸고 맞는 백신이 말이 됨?  
4,0,백신을 도대체 왜 강제하는지    백신맞고 뭐가 달라졌음? 오히려 변종만 더생김
5,0,나도 안맞고 싶었지만 회사생활할려면 맞아야지    부스터샷은 안맞는다   부작용    차 다 격음   이정도면 부스터샷은 안맞아도 되는거 아닌가???
1,2,백신 접종은 자유입니다 강요하지마세요
7,0,백신이 목숨을 걸고 맞아야 할 정도면 이미 백신의 역할을 잃은 것임
8,0,아이들 아빠라서 더 걱정되서 안 맞았을수도 있다는 의견에 한표
9,2,난  차까지 완료했지만  백신은 개인 자유지     공산주의냐?? 이미 코로나로 사망한 수만큼 백신으로 사망한 수가 거의 비슷한걸 왜 언론은 노출 시키지 않냐?? 얼마전 군부대 확진자중     프로가 이미 백신  차 완료한 사람이지 않았냐? 이정도면 물백신이지     백신 맞고 안맞고는 자유     미접종자를 죄인취급할 이유  도 없음   
1,2,햐  이런기사  연예인은 목숨걸고 백신 맞고 수천만의 일반인은 ?
0,2,개인 선택임  인증할 것도 강요 할 것도 아님
2,0,나도 미접종자다  혈압이 조금 높기 때문에 만약 부작용 나면 기저질환 핑계댈것이 뻔하고 부작용도 무서워서 절대 안맞을거다  대신 식당에서 무조건 포장해서 먹고 사람 많은곳 절대 안간다  어쩔수 없는 출퇴근을 제외하고는 주말 내내 집콕하거나 가끔 차 끌고 사람 없는곳만 다닌다  백신 접종은 개인의 선택이고 자유다 
3,2, 차 접종 완료자 입장에서 써 본다 접종여부는 개인의 선택인 것을 왜 이래라 저래라 하나?어차피 예방 효과도 미비하고 부스트 샷도 맞아야 하고  이미 돌파감염자들 속출한다  백신 하나 맞은 게 무슨 큰 일이라고 미접종자들 까대지 말아라   차 접종했다고 깝치고 다니지 말고 서로서로 마스크 잘 쓰고 몸 조심하자 
4,2,백신 맞은사람도 안 맞은사람도 정상  강요하는 사람은 비정상
