N1,극성,내용
1,2,백신 강요 웃기는 영화관 주사 맞는 사람 팝콘 먹는 해주는 데 주사 맞은 코로나 안 걸리는 주사 맞은 남 안 퍼뜨리 아닌 진짜
2,2,백신 선택 안 맞은 뭐라 그러는 그거 자체 생각 없는 거 아닌 백신 안 맞은 책임지는 운운한 갓 어이없는 백신 맞은 인간 확 진자 아닌 맞은 걸리는 수 있는 안 맞은 걸리는 수 있는 상뢍 가지 고 백신 접종 안 맞은 그런 거 마냥 진짜 어이없는
3,2,백신 선택 이지 의무
4,2,이런데도 백신 강제 아닌 칼 대고 밀어 붙인는 강제 일까 코로나 걸리는 죽 수 있는 백신 잘못 맞은 죽 수 있던 건 인정 해보는 그렇다면 위험한 선택 할지의 문제 강제 하려는 코로나 사망자 평균 나이 세 임용 준비 하신 대여 성분 기대수명 두 두고 사망 대가 자의 심정 생각 해보는 희생 공공 이익 정당한 말 할 수 있는 가족 아닌 음 안도 있는
5,2,접종 강요 하지 마세요 정말 접종 선택 아닌 용필 수 아닌 세상 이상한
6,2,돌파 감염 얘기 하면 위중 증 안 가는 맞은 하는 개 소리 하지 애 백신 접종 해보는 하는 백신 접종 사망 사람 애 인과성 따지는 백신 상관없는 말 믿음 백신 접종 사망 하면 누가 책임지는 돌파 감염 없는 욕 하는 게 당연한 연일 돌파 감염 생기는 상황 몰아가는 게 몰상식한 거 아닌
7,2,백신 개인 선택 이니 잘잘못 따지는 필요한 있는 사회생활 하는 수 용감한 내서 접종 하신 분 있는 반면 기 질환 부작용 두려운 못 하는 사정 있는 거 비난 대상 되는 하는 배우 분 화이자 차 맞은 확진된 되는 기사도 본 거 같은 주변 백신 맞는 확진된 된 사람 있던 소리 들은 백신 꼭 답 인 거 빈 접종 비난 하지 않은 좋은
8,2,백신 목숨 걸어야 할 판 맞는 안 맞는 개인 자유
9,2,정신 나가는 여자 목숨 걸리는 맞는 걸 본인 입 주절거리면서 난 맞은 넌 안 맞는 떠드는 다니는 강요 해서 부작용 생기는 면 책임지는 줄 나라 안 하는 걸 당연한 지 마라 나도 맞은 강요 하지 않은 현재 상황 두려운 못 맞는 이해한 가능한
10,2,백신 맞은 안 걸리는 모르는 돌파 감염 어쩌구 걸리는 저걸 안 맞은 뭐라 할 이유 어디있는 사람 마다 체질 거 누 군 몸 맞은 누 군 안 맞은 수 있는 지가 맞은 안 맞는 사람 뭐라 할 권리 있는
11,2,목숨 내놓은 맞은 게 자랑 이냐 사람 목숨 내놓은 맞은 하는 중증 안 걸리는 필요한 맞은 맞는 자유 안 맞는 자유 어차피 맞은 전염 개체 알 고 있는
12,2,백신 목숨 걸리는 맞은 자랑 인 가난 파이팅
13,2,백신 안 맞는 게 논란 거리 개인 선택 백신 맞은 해서 코로나 안 걸리는 아는 전파 낮은 아는 맞은 해서 면역 생기는 기대한 수 있는 아는 단순히 중증 가는 정도 예방 하는 외 기대한 수 있는 게 아닌 안 맞는 게 남 피해 주는 말 할 수 없는
14,2,진짜 백신 맞은 게 찬양 받을 일도 아닌 안 맞은 게 비난 받을 일도 아닌 백신 강요 난리 쳐 돌았냐
15,2,백신 자유 선택 안 맞은 비난 말 축 가까운 부르러 가는 면 최소 코로 나선 검사 가는 최소한 기사 혼쭐 나진 않은
16,2,백신 안 맞는 건 자유 안 맞은 외부 활동 하는 게 문 제지
17,2,진짜 직장 백신 맞은 강요 하는 사람 꼴불견 임
18,2,전 백신 맞는 죽는 고등학생 백신 맞는 안타까운 가는 나라 인정 해주는 있는 가장이 죽는 경우 있는 무조건 맞은 제대로 된 보상 책 마련 무조건 맞은 인간 진짜 개 같은
19,2,백신 강제 아닌 명 같은 안 맞은 거 같은 데
20,2,남 맞은 말 함부로 하지 대부분 위 거나 사회생활 하는 눈치 보 여서 아닌 요가 혹 남 맞은 안 맞는 말 하는 사람 보는 사람 진짜 기적 인 사람 같은
21,2,백신 맞은 감염 되는 전파 된다 무식한 모르는 아는 척 앉은 백신 맞는 안 맞는 자유 지 맞은 사람 눈 때문 목숨 걸리는 맞은 나라 목숨 걸어 정권 알 대지
22,2,목숨 내놓은 맞은 애가 서인 가장 못 맞은 수도 있는 왈가 왈부 인지
23,2,백신 선택 입니다 마녀사냥 하지 마세요
24,2,백신 맞는 건 본인 자유로운 코로나 확진된 되는 않은 철저히 행동 해보는 책임지는 따르는 괜찮은 남 피 해주는 안 되는 않은
25,2,미 접종 논란 이냐 백신 지키는 거 보는 거 맞는 안 맞는 개인 자유 선 넘지 마라
