내용,결과,,긍정 댓글 수,부정 댓글 수,중립 댓글 수
사퇴 하라 해도 굳건 하는 띨띨 선조 이충무공 떠올리며 시대 충무공 청장 파이팅,34.16의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,2020,2265,2225
답답합니 더운 날씨 전화하면 안 되고요 힘든 지친 이니 대한민국 국민 힘내고 삽시다,33.99의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
사전 예약 받나요,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
주마 들어오는 공 급량 정확한 아닐 접종 차질 없는 거 확신 하는 필요한 만 약사 비밀 유지 협약 먹이 지 투명하게 공 급량 공개 밀 집도 높은 지역 위험한 군 나눠서 접종 시켜라 방역 지역별 나눠놓고 백신 접종 하는 단계 인 지역 단계 인 지역 위험한 다르면 방역 단계 아닌 백신 접종 다른 배분 접종 시켜야지,35.33의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
후반 아예 예약 안내 없는 요새 세는 사람 취급 안 되는,34.17의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
차 접종 퍼퍼 명 맞은 지랄 하던 데 차 접종 만 명 되려나 백신 없는 이상한 계획 만 짜네,35.39의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
집단 면역 맞은,34.41의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대면 맞은 대는 내년 겠네,33.82의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
세는 세 되는 새해 에나 맞은,33.89의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
천만 명 갔는데 아주 입 만 열면 구라 자동 튀어나와,35.05의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
예약 사람 다시 예약 해보는 되냐고,34.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
본인 인증 하면 해당 기간 내의 대상자 아닌 뜨네요,34.74의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 없는,34.21의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
세 휘 돌아 백신 나라 미래 인 학생 먼저 맞혀라,33.78의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 갓 노,33.45의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
제약회사 백신 종류 나이 별로 접종 잇는 백신 맞은 코로나 끝나는 듯 생활 하는 거도 문제 많은 지금 변 바이러스 전 염력 빨 라서 정말 조심한 하는,37.26의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 없는 분배 해서 예약 받은 안 된다는 게 상식 생각 회로 안 되는 저번 백신 확보 했으면 잘 떠들더니 백신 접종 오류 입다 있는 백신 접종 순서 인구 비율 아닌 바깥 잘 돌아다니는 순서 계산 해서 대부터 시작 해서 학생 중고 대순 가야 지 대부터 접종 하는 게 순서 맞는 거,38.72의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
느림,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
퍼지고 죽는 접종 시킬 거 재난 지 원금 그것 백신 사서 맞춰줘라 차 접종 못 해주는 방역 지껄임 노 집단 감염 학교 학생 군인 아닌 돈 안 받을 테 접종 시킨 달라 고,35.56의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
예약 개뿔 접속 안 되는 뭘 예약 받는다 지랄 인지 답 없는,34.04의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
방역 노래 불러라 그러길래 애초 중국 문 활짝 열어 두냐고 그다음 인도 문 활짝 열고 그냥 내 발정 난 암 캐 똑같잖아,34.92의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
정은경 국회,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
글 훨 믿음 되는,34.36의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 종류 시기 다르죠 얀 센 화이자 노바 백신 아스 트 거 연령 부작용 검토 하여 들어오는 일정 대로 놔줄 듯,34.19의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대랑 맞는 진짜 모르는,33.73의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
천만 명분 한꺼 번 들어오는 게 아닌 순차 들어오는 건 데니 멍청한 구라 어째 고 헛소리,34.57의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
버틸 수 있는 어르신 먼저 맞으시지요,34.2의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
훠훠훠대 지지 안 하는 그냥 둡니 다훠훠훠,34.09의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
갈라놓다 게 만들려는 거 겠죠 확 진자 이렇게나 많은 외출 자제 달라 이러면서 확 진자 많은 게 젊은이 떠 넘길 듯,34.3의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
그러 기 늦었음 지금 와서 대부터 맞은 난리 날 거임 처음 사회생활 가장 활발히 하는 대순 접종 하면 확 진자 주는 대신 사망률 늘 지우 리나 확 진자 고령 사망률 낮추는 고령 층 시작 거임 변 생각 하면 게 맞는 듯 대변 걸리는 넘기는 일주일 빠진 거 보는 걸리는 층 감당 하겠음,36.68의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
돈 없는 못 사는 거임 물량 공급 안 되는 거 아닌,34.35의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
징징대지 마 나라 비 하면 상황 낫구먼 배 처 불러 가지,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
서울시장 바뀌었을 오세훈 표 방역 임,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
진짜 병 병곡 실천 서니 좋은 먼저 가는 바란다,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
사이코 꺼 좋은 교회 때문 피 해본 사람 줄 알 고 시부 리나,34.46의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대는 없는 거 가장 활발하게 활동 하는 나이 울 신랑 맞은 수 있는 레인지,34.78의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
대들은 운 좋은 거일 수도 델타 변 때문 리 얀 센 먼 처 맞은 사람 스트레스 대들은 화이자 맞은 수도 요화 이자 번 충 원 될 테 아스 트 번 맞는 후 맞는 화이자 차 접종 주 안 걸림 잔 백신 맞은 손해 인 듯,38.3의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
대가 제일 사회 경제활동 하는,33.75의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 맞는 중요한 백신 맞은 마스크 안 쓰거나 명단 안 쓰는 된다거나 개 소리 안 했으면,36.47의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
나이 아닌 지역 위주 접종 해보는 심한 지역 해보는 발병 률 주는 건 상식 아닌,34.09의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
기다려야겠네,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대는 맞는다더니 늦췄네 부모님 뵈러 가는 싶은,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대도 맞는 싶다고요 아르바이트 할 마다 무서운 언론 대갈 라서 욕 마시고 백신 맞은 기회 주세요,35.43의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
