before,after
가능,가능한
가능성,가능한
가능하다,가능한
가능하다면,가능한
가능하단,가능한
가능하면,가능한
가능하지만,가능한
가능한,가능한
가능해,가능한
가득,가득한
가득하다,가득한
가르,가르치는
가르치,가르치는
간단하게,간단한
간단하다,간단한
갈라놓는,갈라놓다
갈라놓지,갈라놓다
갈라치,갈라놓다
갈르,갈라놓다
감사합니다,감사한
감사해야,감사한
같네나는,같은
같은데요,같은
건강하게,건강한
건강하고,건강한
건강하면,건강한
건강한,건강한
건강한데,건강한
건강할,건강한
걸리,걸린
걸리거나,걸린
걸리든,걸린
걸립니,걸린
겪고,겪다
겪어,겪다
겪어도,겪다
겪어서,겪다
괜찮겠지,괜찮은
괜찮겠지라고,괜찮은
괜찮나,괜찮은
괜찮나여,괜찮은
괜찮나요,괜찮은
괜찮다며,괜찮은
괜찮다면,괜찮은
괜찮던데요,괜찮은
괜찮습니다,괜찮은
괜찮아,괜찮은
괜찮아도,괜찮은
괜찮아요,괜찮은
괜찮았다,괜찮은
괜찮았다고,괜찮은
괜찮았으면,괜찮은
괜찮으면,괜찮은
괜찮은,괜찮은
괜찮은데,괜찮은
괜찮을까요,괜찮은
괜찮을지,괜찮은
궁금한,궁금한
궁금한데,궁금한
궁금합니다,궁금한
기대하며,기대한
기대할,기대한
기억,기억
기억나,기억
끊어지,끊다
끊이,끊다
끝나,끝난
끝나겠구나,끝난
끝나지,끝난
끝내,끝난
끝내주,끝난
나아지,낫다
나아지질,낫다
나오,나온
나오느,나온
나와,나온
나왓습,나온
난리,난리
난리치,난리
낮고,낮은
낮다고,낮은
낮습니다,낮은
낮아지,낮은
낮은,낮은
낮추,낮은
내놓,내놓은
내놓고까지,내놓은
넘어가,넘어간
넘어가지,넘어간
넘어지,넘어간
넘치,넘어간
높다면서,높은
높아지,높은
늘어나,늘어난
늘어놓,늘어난
늦게,늦은
늦게까지,늦은
늦추,늦은
다니,다닌
다니겠다는,다닌
다르,다른
다릅니,다른
다행,다행
다행히,다행
답답,답답한
답답하다,답답한
답답합니다,답답한
당연하고,당연한
당연하다고,당연한
당연하지,당연한
당연한,당연한
당연한데,당연한
당연히,당연한
대단하고,대단한
대단한,대단한
대단히,대단한
되겠나만은,되겠
되겠지만,되겠
두렵,두려운
두렵습니다,두려운
뒈지,죽은
뒈지면의,죽은
뒤지,죽은
만들,만든
만들어내,만든
만들어지,만든
많겠다,많은
많구나,많은
많아지,많은
많은데요,많은
많은지만,많은
맞거나,맞은
맞건,맞은
맞게끔,맞은
맞게는,맞은
맞겟다,맞은
맞겠고,맞은
맞겠나,맞은
맞겠냐,맞은
맞겠냐고,맞은
맞겠네,맞은
맞겠다,맞은
맞겠다고,맞은
맞겠다는,맞은
맞겠다는데,맞은
맞겠습니다,맞은
맞겠음,맞은
맞겠지,맞은
맞겠지요,맞은
맞겧,맞은
맞고난,맞은
맞고를,맞은
맞고만,맞은
맞고서,맞은
맞고주,맞은
맞기,맞은
맞는다고,맞은
맞는다고까지,맞은
맞는다는,맞은
맞는다면,맞은
맞다나도,맞은
맞다운이,맞은
맞더니,맞은
맞습니다,맞은
맞아가면서,맞은
맞아나는,맞은
맞아놓고,맞은
맞아주,맞은
맞앗고,맞은
맞앗냐,맞은
맞앗는데,맞은
맞앗다가,맞은
맞앗다고,맞은
맞앗다는,맞은
맞았겟,맞은
맞어래요,맞은
맞으가는,맞은
맞으라고도,맞은
맞으라고만,맞은
맞으라고요,맞은
맞으라곤,맞은
맞으라면,맞은
맞으로,맞은
맞으세,맞은
맞으셔요,맞은
맞으셨다고요,맞은
맞으시길,맞은
맞을려,맞은
맞을려니,맞은
맞있는데,맞은
맞자고,맞은
맞지를,맞은
맞지마,맞은
맞지마라,맞은
맞질,맞은
맞추,맞은
멀쩡한,멀쩡한
멀쩡함,멀쩡한
멍청하니까,멍청한
멍청한,멍청한
멍청해서,멍청한
명확,명확한
명확해야,명확한
모르,모르는
모르겠네,모르는
모르겠네요,모르는
모르겠는데,모르는
모르겠다,모르는
모르겠습니다,모르는
모르겠음,모르는
목깡,목숨
목숨,목숨
몰상식,몰상식한
몰상식한,몰상식한
무사,무사히
무사히,무사히
무서워지,무서운
무섭,무서운
무섭습니다,무서운
무식하게,무식한
무식하니까,무식한
무식한,무식한
무적,무적
무적인,무적
문제,문제
문제점,문제
물어보,물음
물어주,물음
미루,미뤄
미뤄는데,미뤄
믿겠다,믿음
믿겠어요,믿음
바꾸,바뀜
바뀌,바뀜
반대,반대
반대쪽,반대
밝혀주,밝힘
밝히,밝힘
백시,백신
백퍼,백프로
범죄인,범죄자
벗고,벗음
벗던,벗음
벗어나,벗음
벗어납니,벗음
벡신,백신
별로,별로
별르,별로
보겠습니다,보는
보던데요,보는
보라고요,보는
보여주,보여
보여주더니,보여
보이,보여
보자고,보여
부모,부모님
부모님,부모님
부스터,부스터
부스트,부스터
부칸,부탁
부타,부탁
부탁,부탁
부탁드리,부탁
불수,불순
불순,불순
불안하면,불안한
불안하오,불안한
불안하지,불안한
불안한,불안한
불안해,불안한
불안해서,불안한
불안해요,불안한
불편하네요,불편한
불편하다,불편한
불편한,불편한
불편해,불편한
불편해서,불편한
비슷한,비슷한
비슷합니다,비슷한
빼앗아가,빼았음
빼앗지,빼았음
뻔하,뻔한
뻔하구만,뻔한
뻔히,뻔한
사람,사람
사람과,사람
살아나,살아있는
살아있는,살아있는
살이구요,살아있는
상관없다,상관없는
상관없다는,상관없는
상관없이,상관없는
상관없지만,상관없는
상당수,상당히
상당히,상당히
생겻,생기는
생겼,생기는
생기,생기는
생기거나,생기는
선택,선택
선텍임,선택
소리,소리
소린,소리
소중하니까,소중한
소중한,소중한
수만,수많은
수많은,수많은
수백,수많은
수십,수많은
수천,수많은
신종인플루엔자,신종플루
신종플루,신종플루
싫고,싫은
싫다,싫은
싫든,싫은
싫어,싫은
싫어서,싫은
싫어요,싫은
싫어하,싫은
싫었,싫은
싫었는데,싫은
싫으면,싫은
싫은,싫은
싫을,싫은
싫음,싫은
심각,심각한
심각하다고,심각한
심각한,심각한
심각한지,심각한
싸우,싸움
싸움판,싸움
쌓아놓,쌓아놓는
쌓아주,쌓아놓는
쓸데없는,쓸모없는
쓸모없는,쓸모없는
아니,아닌
아니거든,아닌
아니고만,아닌
아니냐지,아닌
아니라서,아닌
아니이,아닌
아니잖,아닌
아니잖냐,아닌
아니지나,아닌
아닌,아닌
아닙니,아닌
아무,아무렇게나
아무렇,아무렇게나
아프,아픈
아프거나,아픈
아프거든요,아픈
안전,안전한
안전성,안전한
안전하게,안전한
안전하고,안전한
안전하다고,안전한
안전하다는,안전한
안전하다니라면,안전한
안전하려고,안전한
안전할,안전한
안전해,안전한
안전해지면,안전한
안타깝,안타깝게
안타깝게도,안타깝게
않겠냐,않는
않겠다,않는
않겠다는,않는
않겠죠,않는
않습니다,않는
않오,않는
않으셨어야,않는
알겟냐,아는
알겠는데,아는
알레르기,알레르기
알르레기,알레르기
앓고,앓는
앓았던,앓는
앓았습니다,앓는
앓았었고,앓는
애매모호한,애매한
애매하게,애매한
애매하구만,애매한
어마,어마한
어마어마하게,어마한
어이없네,어이없는
어이없는,어이없는
어이없어요,어이없는
어쨋거,어째
어쩌,어째
어찌,어째
억울하니까,억울한
억울해,억울한
억울해서,억울한
얻고,얻는
얻기,얻는
얻어,얻는
얻었잖아,얻는
엄니,엄마
엄마,엄마
없겟지만,없는
없냐고요,없는
없네난,없는
없데요,없는
없든,없는
없슴,없는
없습니다,없는
없어지,없는
없잖,없는
없죠우리,없는
없죠하지만,없는
역겁,역겹
역겹,역겹
올라가,올라
